Frame ID,QR ID,QR 2D,QR 3D: dist,QR 3D: yaw
4,1,"[[400.0, 122.0], [451.0, 120.0], [453.0, 171.0], [403.0, 175.0]]",18.3061475172254,[[-11.54171196]],[[-11.54171196]]
5,1,"[[400.0, 122.0], [451.0, 120.0], [453.0, 171.0], [403.0, 175.0]]",18.3061475172254,[[-11.54171196]],[[-11.54171196]]
6,1,"[[398.0, 122.0], [449.0, 120.0], [452.0, 170.0], [401.0, 172.0]]",18.492562618935136,[[-1.89633612]],[[-1.89633612]]
7,1,"[[401.0, 120.0], [451.0, 119.0], [454.0, 170.0], [403.0, 171.0]]",18.573987163875326,[[-5.84818755]],[[-5.84818755]]
8,1,"[[401.0, 120.0], [451.0, 119.0], [454.0, 170.0], [403.0, 171.0]]",18.573987163875326,[[-5.84818755]],[[-5.84818755]]
9,1,"[[401.0, 122.0], [452.0, 120.0], [455.0, 170.0], [404.0, 172.0]]",18.485490094679434,[[-2.02972586]],[[-2.02972586]]
10,1,"[[402.0, 121.0], [453.0, 120.0], [455.0, 171.0], [405.0, 172.0]]",18.580980624123516,[[6.21456616]],[[6.21456616]]
11,1,"[[403.0, 122.0], [453.0, 120.0], [456.0, 171.0], [406.0, 173.0]]",18.75849576587727,[[-5.30594202]],[[-5.30594202]]
12,1,"[[404.0, 121.0], [454.0, 120.0], [456.0, 171.0], [407.0, 173.0]]",18.62196257971946,[[-12.39255389]],[[-12.39255389]]
13,1,"[[403.0, 122.0], [454.0, 120.0], [456.0, 172.0], [407.0, 173.0]]",18.522350223813945,[[10.91723549]],[[10.91723549]]
14,1,"[[402.0, 122.0], [453.0, 121.0], [456.0, 171.0], [407.0, 174.0]]",18.555379629257754,[[-11.10375107]],[[-11.10375107]]
15,1,"[[402.0, 121.0], [453.0, 120.0], [455.0, 171.0], [406.0, 173.0]]",18.556288266915384,[[-10.85983207]],[[-10.85983207]]
16,1,"[[402.0, 121.0], [453.0, 120.0], [455.0, 170.0], [406.0, 172.0]]",18.746656190964053,[[5.5946227]],[[5.5946227]]
17,1,"[[402.0, 121.0], [452.0, 120.0], [455.0, 170.0], [404.0, 171.0]]",18.625305074107168,[[-4.29605651]],[[-4.29605651]]
18,1,"[[403.0, 122.0], [454.0, 120.0], [456.0, 171.0], [405.0, 172.0]]",18.499346542545727,[[0.81346126]],[[0.81346126]]
19,1,"[[403.0, 121.0], [454.0, 120.0], [456.0, 171.0], [406.0, 172.0]]",18.57763777132571,[[6.25734523]],[[6.25734523]]
20,1,"[[411.0, 118.0], [456.0, 110.0], [461.0, 163.0], [416.0, 168.0]]",18.509807800577622,[[27.19206629]],[[27.19206629]]
21,1,"[[409.0, 118.0], [456.0, 111.0], [461.0, 163.0], [414.0, 168.0]]",18.703620961915775,[[20.36067617]],[[20.36067617]]
22,1,"[[409.0, 118.0], [456.0, 111.0], [461.0, 163.0], [414.0, 169.0]]",18.496664035301247,[[21.74493528]],[[21.74493528]]
23,1,"[[406.0, 118.0], [456.0, 112.0], [460.0, 164.0], [411.0, 169.0]]",18.4714509256568,[[13.22789872]],[[13.22789872]]
24,1,"[[403.0, 118.0], [455.0, 114.0], [457.0, 166.0], [407.0, 169.0]]",18.353801472915045,[[-5.63463662]],[[-5.63463662]]
25,1,"[[402.0, 118.0], [454.0, 114.0], [457.0, 166.0], [406.0, 169.0]]",18.28232295446041,[[-2.08016482]],[[-2.08016482]]
26,1,"[[400.0, 117.0], [451.0, 115.0], [454.0, 166.0], [403.0, 168.0]]",18.49692293982058,[[-2.27938867]],[[-2.27938867]]
27,1,"[[399.0, 114.0], [449.0, 117.0], [449.0, 167.0], [400.0, 166.0]]",18.63338651889274,[[-13.23396186]],[[-13.23396186]]
28,1,"[[399.0, 112.0], [447.0, 116.0], [447.0, 167.0], [399.0, 165.0]]",18.380337316039743,[[-21.27191199]],[[-21.27191199]]
29,1,"[[399.0, 110.0], [443.0, 114.0], [444.0, 165.0], [399.0, 164.0]]",18.292820173286753,[[-30.83130991]],[[-30.83130991]]
30,1,"[[400.0, 109.0], [442.0, 114.0], [443.0, 165.0], [401.0, 161.0]]",18.513969853329893,[[-34.95671383]],[[-34.95671383]]
31,1,"[[401.0, 109.0], [443.0, 115.0], [442.0, 166.0], [402.0, 161.0]]",21.65587625034652,[[-17.65198414]],[[-17.65198414]]
32,1,"[[401.0, 111.0], [446.0, 115.0], [447.0, 166.0], [401.0, 163.0]]",18.54361507260321,[[-26.98329716]],[[-26.98329716]]
33,1,"[[401.0, 113.0], [450.0, 114.0], [451.0, 166.0], [402.0, 165.0]]",18.481048556069762,[[-16.70733488]],[[-16.70733488]]
34,1,"[[398.0, 111.0], [450.0, 111.0], [452.0, 161.0], [401.0, 162.0]]",18.317772651404646,[[-5.66100289]],[[-5.66100289]]
35,1,"[[398.0, 106.0], [449.0, 106.0], [451.0, 156.0], [400.0, 156.0]]",18.52000550811617,[[-5.11800651]],[[-5.11800651]]
36,1,"[[397.0, 93.0], [448.0, 92.0], [451.0, 142.0], [399.0, 144.0]]",18.430877754356217,[[-1.60848153]],[[-1.60848153]]
37,1,"[[397.0, 82.0], [448.0, 82.0], [451.0, 131.0], [399.0, 133.0]]",18.472593167999804,[[-3.27569144]],[[-3.27569144]]
38,1,"[[396.0, 65.0], [447.0, 64.0], [450.0, 112.0], [399.0, 115.0]]",18.76221823930975,[[-1.5808623]],[[-1.5808623]]
39,1,"[[396.0, 53.0], [447.0, 53.0], [449.0, 100.0], [399.0, 102.0]]",19.03211821182676,[[-2.68133043]],[[-2.68133043]]
40,1,"[[395.0, 27.0], [447.0, 25.0], [448.0, 72.0], [396.0, 72.0]]",18.642878833144163,[[1.96703968]],[[1.96703968]]
46,1,"[[392.0, 9.0], [447.0, 9.0], [447.0, 65.0], [395.0, 67.0]]",17.834667126808434,[[-11.47826492]],[[-11.47826492]]
47,1,"[[393.0, 36.0], [448.0, 34.0], [449.0, 91.0], [397.0, 92.0]]",17.751022344951913,[[10.17436706]],[[10.17436706]]
48,1,"[[393.0, 43.0], [448.0, 41.0], [449.0, 97.0], [397.0, 98.0]]",17.924958870850926,[[3.01266408]],[[3.01266408]]
49,1,"[[394.0, 68.0], [448.0, 66.0], [450.0, 117.0], [397.0, 119.0]]",17.889168155749662,[[-0.49049081]],[[-0.49049081]]
50,1,"[[395.0, 75.0], [450.0, 74.0], [451.0, 123.0], [398.0, 124.0]]",17.69354182477208,[[0.87456914]],[[0.87456914]]
51,1,"[[396.0, 73.0], [451.0, 72.0], [451.0, 123.0], [399.0, 124.0]]",17.842259605761207,[[-0.68099761]],[[-0.68099761]]
52,1,"[[397.0, 58.0], [451.0, 58.0], [452.0, 112.0], [399.0, 113.0]]",17.93372078161893,[[-0.22902269]],[[-0.22902269]]
53,1,"[[399.0, 40.0], [452.0, 40.0], [454.0, 94.0], [401.0, 95.0]]",18.124524986428206,[[-4.54936929]],[[-4.54936929]]
54,1,"[[401.0, 32.0], [454.0, 34.0], [454.0, 85.0], [400.0, 84.0]]",18.05547639306372,[[0.0794241]],[[0.0794241]]
55,1,"[[400.0, 52.0], [453.0, 51.0], [455.0, 104.0], [401.0, 104.0]]",17.943850598435734,[[-0.26904783]],[[-0.26904783]]
56,1,"[[402.0, 107.0], [454.0, 106.0], [455.0, 157.0], [401.0, 157.0]]",17.820335925920986,[[3.79055657]],[[3.79055657]]
58,1,"[[403.0, 175.0], [455.0, 176.0], [454.0, 230.0], [401.0, 228.0]]",17.526128206399935,[[10.00320137]],[[10.00320137]]
59,1,"[[402.0, 223.0], [453.0, 223.0], [453.0, 276.0], [400.0, 276.0]]",17.416539868387623,[[12.42917953]],[[12.42917953]]
60,1,"[[400.0, 251.0], [453.0, 252.0], [452.0, 304.0], [400.0, 305.0]]",17.355932488756526,[[-10.71580187]],[[-10.71580187]]
61,1,"[[398.0, 268.0], [451.0, 268.0], [451.0, 320.0], [399.0, 320.0]]",17.59107911424959,[[2.74068506]],[[2.74068506]]
62,1,"[[395.0, 275.0], [448.0, 274.0], [449.0, 327.0], [397.0, 328.0]]",17.390358758761003,[[8.90609707]],[[8.90609707]]
63,1,"[[395.0, 269.0], [448.0, 268.0], [448.0, 321.0], [396.0, 321.0]]",17.546178457832866,[[6.53382608]],[[6.53382608]]
64,1,"[[395.0, 199.0], [447.0, 199.0], [449.0, 251.0], [396.0, 251.0]]",17.64115463065372,[[-5.86515259]],[[-5.86515259]]
65,1,"[[397.0, 148.0], [450.0, 148.0], [450.0, 202.0], [397.0, 201.0]]",17.682959320740974,[[4.69610724]],[[4.69610724]]
66,1,"[[400.0, 107.0], [453.0, 110.0], [451.0, 165.0], [399.0, 163.0]]",17.373583443452546,[[-15.42157023]],[[-15.42157023]]
67,1,"[[400.0, 68.0], [454.0, 72.0], [453.0, 126.0], [399.0, 122.0]]",17.532333701174615,[[-7.49468729]],[[-7.49468729]]
68,1,"[[400.0, 25.0], [453.0, 29.0], [454.0, 81.0], [400.0, 78.0]]",17.902814982215006,[[-8.44319399]],[[-8.44319399]]
104,1,"[[481.0, 16.0], [532.0, 12.0], [536.0, 62.0], [486.0, 66.0]]",19.1368208670329,[[4.46129825]],[[4.46129825]]
105,1,"[[457.0, 21.0], [508.0, 18.0], [511.0, 72.0], [460.0, 75.0]]",18.747815865527446,[[-7.76538754]],[[-7.76538754]]
106,1,"[[451.0, 22.0], [502.0, 20.0], [504.0, 76.0], [454.0, 77.0]]",18.195127523103913,[[18.03221661]],[[18.03221661]]
107,1,"[[409.0, 27.0], [460.0, 24.0], [464.0, 77.0], [414.0, 82.0]]",18.62606564010253,[[-12.90773856]],[[-12.90773856]]
108,1,"[[380.0, 28.0], [431.0, 23.0], [438.0, 77.0], [386.0, 82.0]]",18.587281305445593,[[-5.33610336]],[[-5.33610336]]
109,1,"[[334.0, 26.0], [386.0, 22.0], [390.0, 76.0], [339.0, 79.0]]",18.793781264449937,[[7.62389122]],[[7.62389122]]
